page_id,page_title,page_url,links
12,Surgeon Simulator: Experience Reality (PSVR) PS4 FPKG Updates,https://www.psxhax.com/threads/surgeon-simulator-experience-reality-psvr-ps4-fpkg-updates.15971/,"https://www.psxhax.com/threads/psxhax-member-verification-ps4-fake-pkg-fpkg-sharing-guide.7855/,https://www.psxhax.com/threads/poobs4-ps4-9-00-jailbreak-exploit-via-chendochap-with-updated-payloads.10492/,https://www.psxhax.com/threads/psxhax-member-verification-thread-for-requesting-blue-verified-badge.5824/,https://www.psxhax.com/threads/the-pedestrian-v1-01-la-mulana-v1-01-la-mulana-2-v1-02-ps4-pkgs.15965/"
13,"The Pedestrian v1.01, La-Mulana v1.01 & La-Mulana 2 v1.02 PS4 PKGs",https://www.psxhax.com/threads/the-pedestrian-v1-01-la-mulana-v1-01-la-mulana-2-v1-02-ps4-pkgs.15965/,"https://www.psxhax.com/threads/dying-light-2-stay-human-v1-36-backported-ps4-fpkg-arrives.15958/,https://www.psxhax.com/threads/poobs4-ps4-9-00-jailbreak-exploit-via-chendochap-with-updated-payloads.10492/,https://www.psxhax.com/threads/psxhax-member-verification-thread-for-requesting-blue-verified-badge.5824/,https://www.psxhax.com/threads/psxhax-member-verification-ps4-fake-pkg-fpkg-sharing-guide.7855/"
14,Dying Light 2 Stay Human v1.36 Backported PS4 FPKG Arrives,https://www.psxhax.com/threads/dying-light-2-stay-human-v1-36-backported-ps4-fpkg-arrives.15958/,"https://www.psxhax.com/threads/poobs4-ps4-9-00-jailbreak-exploit-via-chendochap-with-updated-payloads.10492/,https://www.psxhax.com/threads/psxhax-member-verification-thread-for-requesting-blue-verified-badge.5824/,https://www.psxhax.com/threads/fifa-23-v1-20-womens-world-cup-ps4-fpkgs-released-in-ps4scene.15942/,https://www.psxhax.com/threads/psxhax-member-verification-ps4-fake-pkg-fpkg-sharing-guide.7855/"
15,PS4 GTAV 1.46 GFX Loader ELF Released by RF0oDxM0Dz,https://www.psxhax.com/threads/ps4-gtav-1-46-gfx-loader-elf-released-by-rf0odxm0dz.15947/,"https://www.psxhax.com/threads/ps4-payload-injector-3-1-windows-gui-app-by-thewizwiki-ps4-elf-injector-by-sonysnightmare.7538/,https://www.psxhax.com/threads/ps3-scorpion-menu-by-rf0odxm0dz-now-free-on-rdroysters-com.13056/,https://www.psxhax.com/threads/ps4-rdr2-oysters-mod-menu-v1-3-8-payloads-updated-by-rf0odxm0dz.14551/"
16,PS4 Wee Tools for NOR and Syscon Manipulations by AndyManDev,https://www.psxhax.com/threads/ps4-wee-tools-for-nor-and-syscon-manipulations-by-andymandev.15945/,"https://www.psxhax.com/threads/bwe-ps4-nor-validator-bwe-serialreader-script-by-betterwayelectronics.6139/,https://www.psxhax.com/threads/ps4-syscon-tools-released-by-abkarino-egycnq-with-guide-demo-videos.15904/"
17,FIFA 23 v1.20 (Women's World Cup) PS4 FPKGs Released in PS4Scene,https://www.psxhax.com/threads/fifa-23-v1-20-womens-world-cup-ps4-fpkgs-released-in-ps4scene.15942/,"https://www.psxhax.com/threads/balan-wonderworld-v1-01-ps4-fpkg-by-opoisso893-golemnight.15935/,https://www.psxhax.com/threads/poobs4-ps4-9-00-jailbreak-exploit-via-chendochap-with-updated-payloads.10492/,https://www.psxhax.com/threads/psxhax-member-verification-thread-for-requesting-blue-verified-badge.5824/,https://www.psxhax.com/threads/psxhax-member-verification-ps4-fake-pkg-fpkg-sharing-guide.7855/"
18,Essential Picks PlayStation Store Promotion Live for July 2023,https://www.psxhax.com/threads/essential-picks-playstation-store-promotion-live-for-july-2023.15941/,
19,Create Emulator FPKGs for PS4 / PS5 Mast1c0re Exploit in 1-Click by Markus95,https://www.psxhax.com/threads/create-emulator-fpkgs-for-ps4-ps5-mast1c0re-exploit-in-1-click-by-markus95.15936/,"https://www.psxhax.com/threads/more-ps2-emulators-via-markus95-for-mast1c0re-exploit-on-ps4-ps5.15290/,https://www.psxhax.com/threads/mast1c0re-ps2-usb-network-elf-loader-game-loader-ps4-ps5-updates.15271/,https://www.psxhax.com/threads/poobs4-ps4-9-00-jailbreak-exploit-via-chendochap-with-updated-payloads.10492/,https://www.psxhax.com/threads/saturn2ps4-v1-1-create-saturn-ps4-fake-pkgs-fpkgs-by-markus95.15499/"
20,Balan Wonderworld v1.01 PS4 FPKG by Opoisso893 / Golemnight,https://www.psxhax.com/threads/balan-wonderworld-v1-01-ps4-fpkg-by-opoisso893-golemnight.15935/,"https://www.psxhax.com/threads/psxhax-member-verification-ps4-fake-pkg-fpkg-sharing-guide.7855/,https://www.psxhax.com/threads/poobs4-ps4-9-00-jailbreak-exploit-via-chendochap-with-updated-payloads.10492/,https://www.psxhax.com/threads/psxhax-member-verification-thread-for-requesting-blue-verified-badge.5824/,https://www.psxhax.com/threads/latest-ps4-fake-pkg-games-and-ps4-dlc-fpkgs-in-ps4scene.15928/"
21,Latest PS4 Fake PKG Games and PS4 DLC FPKGs in PS4Scene,https://www.psxhax.com/threads/latest-ps4-fake-pkg-games-and-ps4-dlc-fpkgs-in-ps4scene.15928/,"https://www.psxhax.com/threads/new-ps4-game-fake-pkgs-and-ps4-dlc-fpkgs-released-in-ps4scene.15923/,https://www.psxhax.com/threads/poobs4-ps4-9-00-jailbreak-exploit-via-chendochap-with-updated-payloads.10492/,https://www.psxhax.com/threads/psxhax-member-verification-thread-for-requesting-blue-verified-badge.5824/,https://www.psxhax.com/threads/psxhax-member-verification-ps4-fake-pkg-fpkg-sharing-guide.7855/"
